CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Lighter_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:19:55"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
97	H6	  110.00	  110.00	  110.00	 0.21979	 0.21058	 0.13437	   53.01	    7.96	    9.77	
98	H7	   50.00	   50.00	   50.00	 0.06002	 0.05456	 0.03145	   28.00	    8.52	    8.55	
99	H8	  135.00	  135.00	  135.00	 0.30353	 0.29634	 0.19696	   61.34	    6.78	    9.28	
100	H9	  225.00	  225.00	  225.00	 0.68120	 0.70335	 0.56903	   87.16	    0.66	    1.17	
101	H10	   10.00	   10.00	   10.00	 0.00918	 0.00848	 0.00547	    7.66	    4.00	    2.89	
102	H11	  100.00	  100.00	  100.00	 0.18831	 0.17886	 0.11255	   49.36	    8.38	    9.74	
103	H12	  125.00	  125.00	  125.00	 0.26679	 0.25864	 0.16959	   57.91	    7.24	    9.40	
104	H13	  155.00	  155.00	  155.00	 0.37706	 0.37266	 0.25600	   67.48	    5.82	    8.53	
105	I1	  210.00	  210.00	  210.00	 0.62013	 0.63466	 0.49880	   83.69	    1.91	    2.77	
106	I2	  230.00	  230.00	  230.00	 0.70833	 0.73332	 0.60111	   88.61	    0.27	    0.40	
107	I3	  100.00	  100.00	  100.00	 0.18946	 0.17998	 0.11267	   49.49	    8.38	    9.94	
108	I4	   30.00	   30.00	   30.00	 0.02863	 0.02574	 0.01487	   18.25	    7.21	    6.62	
109	I5	  165.00	  165.00	  165.00	 0.41827	 0.41588	 0.29143	   70.59	    5.28	    7.92	
110	I6	  180.00	  180.00	  180.00	 0.48408	 0.48744	 0.35595	   75.29	    3.89	    6.28	
111	I7	  135.00	  135.00	  135.00	 0.30293	 0.29571	 0.19684	   61.28	    6.79	    9.21	
112	I8	   70.00	   70.00	   70.00	 0.10628	 0.09841	 0.05870	   37.56	    8.89	    9.47	
113	I9	   50.00	   50.00	   50.00	 0.05982	 0.05442	 0.03128	   27.96	    8.46	    8.61	
114	I10	  150.00	  150.00	  150.00	 0.35674	 0.35168	 0.23886	   65.88	    6.02	    8.87	
115	I11	   95.00	   95.00	   95.00	 0.17621	 0.16646	 0.10388	   47.81	    8.69	    9.78	
116	I12	   65.00	   65.00	   65.00	 0.09322	 0.08601	 0.05070	   35.20	    8.77	    9.36	
117	I13	  245.00	  245.00	  245.00	 0.78270	 0.81618	 0.68233	   92.41	   -0.85	   -0.81	
118	J1	  180.00	  180.00	  180.00	 0.48523	 0.48848	 0.35700	   75.36	    3.93	    6.25	
119	J2	   85.00	   85.00	   85.00	 0.14690	 0.13768	 0.08390	   43.90	    8.87	    9.93	
120	J3	  155.00	  155.00	  155.00	 0.38098	 0.37641	 0.25854	   67.76	    5.88	    8.57	
121	J4	   25.00	   25.00	   25.00	 0.02228	 0.02006	 0.01176	   15.52	    6.55	    5.86	
122	J5	  115.00	  115.00	  115.00	 0.23670	 0.22783	 0.14704	   54.85	    7.69	    9.61	
123	J6	   15.00	   15.00	   15.00	 0.01332	 0.01208	 0.00743	   10.62	    5.24	    4.28	
124	J7	  165.00	  165.00	  165.00	 0.41712	 0.41475	 0.29081	   70.51	    5.28	    7.88	
125	J8	   60.00	   60.00	   60.00	 0.08102	 0.07444	 0.04347	   32.80	    8.67	    9.16	
126	J9	  250.00	  250.00	  250.00	 0.80770	 0.84418	 0.71240	   93.63	   -1.22	   -1.42	
127	J10	   55.00	   55.00	   55.00	 0.07002	 0.06415	 0.03704	   30.44	    8.44	    8.98	
128	J11	  205.00	  205.00	  205.00	 0.59197	 0.60463	 0.46948	   82.09	    2.16	    3.40	
