CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Darkest_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:25:09"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
115	I11	   95.00	   95.00	   95.00	 0.10338	 0.09571	 0.05713	   37.06	    8.83	    9.36	
116	I12	   65.00	   65.00	   65.00	 0.04461	 0.04022	 0.02324	   23.74	    8.18	    7.68	
117	I13	  245.00	  245.00	  245.00	 0.76330	 0.79572	 0.66446	   91.49	   -0.80	   -0.73	
118	J1	  180.00	  180.00	  180.00	 0.40249	 0.39932	 0.27719	   69.42	    5.48	    8.25	
119	J2	   85.00	   85.00	   85.00	 0.07902	 0.07260	 0.04206	   32.39	    8.60	    9.28	
120	J3	  155.00	  155.00	  155.00	 0.29151	 0.28424	 0.18834	   60.27	    6.83	    9.28	
121	J4	   25.00	   25.00	   25.00	 0.01066	 0.00976	 0.00625	    8.79	    4.54	    3.35	
122	J5	  115.00	  115.00	  115.00	 0.15625	 0.14710	 0.09099	   45.23	    8.65	    9.67	
123	J6	   15.00	   15.00	   15.00	 0.00595	 0.00567	 0.00410	    5.12	    1.96	    1.09	
124	J7	  165.00	  165.00	  165.00	 0.33400	 0.32823	 0.22252	   64.02	    6.25	    8.75	
125	J8	   60.00	   60.00	   60.00	 0.03736	 0.03360	 0.01925	   21.43	    7.84	    7.40	
126	J9	  250.00	  250.00	  250.00	 0.79946	 0.83500	 0.70533	   93.23	   -1.11	   -1.47	
127	J10	   55.00	   55.00	   55.00	 0.03226	 0.02898	 0.01674	   19.63	    7.53	    6.89	
128	J11	  205.00	  205.00	  205.00	 0.53208	 0.53981	 0.40721	   78.45	    3.00	    4.80	
129	J12	   90.00	   90.00	   90.00	 0.09078	 0.08375	 0.04957	   34.75	    8.70	    9.17	
130	J13	   45.00	   45.00	   45.00	 0.02251	 0.02030	 0.01184	   15.65	    6.51	    5.96	
131	K1	  140.00	  140.00	  140.00	 0.23637	 0.22775	 0.14625	   54.84	    7.58	    9.80	
132	K2	  165.00	  165.00	  165.00	 0.33432	 0.32848	 0.22085	   64.04	    6.27	    9.11	
133	K3	  190.00	  190.00	  190.00	 0.44919	 0.44981	 0.32032	   72.88	    4.50	    7.35	
134	K4	   90.00	   90.00	   90.00	 0.09146	 0.08448	 0.04991	   34.90	    8.63	    9.25	
135	K5	   95.00	   95.00	   95.00	 0.10410	 0.09654	 0.05756	   37.21	    8.72	    9.42	
136	K6	   85.00	   85.00	   85.00	 0.08039	 0.07392	 0.04319	   32.68	    8.59	    9.12	
137	K7	  215.00	  215.00	  215.00	 0.58979	 0.60195	 0.46651	   81.94	    2.26	    3.50	
138	K8	   75.00	   75.00	   75.00	 0.06061	 0.05516	 0.03177	   28.16	    8.48	    8.60	
139	K9	  240.00	  240.00	  240.00	 0.73262	 0.76089	 0.62834	   89.90	   -0.22	   -0.04	
140	K10	  190.00	  190.00	  190.00	 0.45055	 0.45125	 0.32242	   72.97	    4.48	    7.19	
141	K11	   10.00	   10.00	   10.00	 0.00475	 0.00464	 0.00355	    4.19	    1.09	    0.54	
142	K12	  235.00	  235.00	  235.00	 0.70377	 0.72865	 0.59502	   88.38	    0.25	    0.63	
143	K13	   35.00	   35.00	   35.00	 0.01556	 0.01413	 0.00854	   12.04	    5.49	    4.76	
144	L1	  115.00	  115.00	  115.00	 0.15698	 0.14772	 0.09058	   45.32	    8.70	    9.97	
145	L2	   85.00	   85.00	   85.00	 0.07922	 0.07287	 0.04199	   32.45	    8.52	    9.42	
146	L3	   30.00	   30.00	   30.00	 0.01292	 0.01175	 0.00718	   10.37	    5.10	    4.34	
