CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800_Cold_ABW52x5_M2"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-07T15:45:02"

NUMBER_OF_FIELDS	46
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
29	   45.00	   45.00	   45.00	 0.01501	 0.01594	 0.01491	   13.19	   -0.98	   -2.14	    0.0110	    0.0117	    0.0122	    0.0125	    0.0135	    0.0160	    0.0175	    0.0183	    0.0190	    0.0190	    0.0193	    0.0198	    0.0199	    0.0188	    0.0173	    0.0177	    0.0180	    0.0152	    0.0129	    0.0136	    0.0149	    0.0153	    0.0146	    0.0140	    0.0143	    0.0151	    0.0167	    0.0191	    0.0219	    0.0234	    0.0232	    0.0220	    0.0202	    0.0202	    0.0243	    0.0321	
30	  185.00	  185.00	  185.00	 0.36641	 0.38368	 0.33940	   68.29	   -1.17	   -3.40	    0.2351	    0.2506	    0.2615	    0.2683	    0.3108	    0.3752	    0.4018	    0.4148	    0.4275	    0.4398	    0.4436	    0.4380	    0.4313	    0.4165	    0.4000	    0.3999	    0.4011	    0.3747	    0.3487	    0.3543	    0.3688	    0.3747	    0.3715	    0.3687	    0.3728	    0.3811	    0.3933	    0.4114	    0.4303	    0.4405	    0.4415	    0.4375	    0.4311	    0.4292	    0.4454	    0.4784	
31	   55.00	   55.00	   55.00	 0.02098	 0.02212	 0.02106	   16.56	   -0.77	   -2.74	    0.0139	    0.0148	    0.0155	    0.0159	    0.0185	    0.0225	    0.0245	    0.0259	    0.0270	    0.0275	    0.0274	    0.0277	    0.0280	    0.0262	    0.0240	    0.0244	    0.0248	    0.0209	    0.0175	    0.0185	    0.0206	    0.0212	    0.0204	    0.0196	    0.0201	    0.0215	    0.0236	    0.0270	    0.0308	    0.0330	    0.0323	    0.0309	    0.0292	    0.0285	    0.0332	    0.0429	
32	  210.00	  210.00	  210.00	 0.50689	 0.53105	 0.46223	   77.94	   -1.36	   -2.90	    0.3242	    0.3456	    0.3606	    0.3700	    0.4278	    0.5153	    0.5495	    0.5651	    0.5811	    0.5977	    0.6023	    0.5902	    0.5784	    0.5642	    0.5503	    0.5483	    0.5471	    0.5246	    0.5010	    0.5029	    0.5123	    0.5166	    0.5145	    0.5132	    0.5179	    0.5262	    0.5384	    0.5557	    0.5736	    0.5841	    0.5870	    0.5860	    0.5829	    0.5832	    0.5958	    0.6214	
33	   55.00	   55.00	   55.00	 0.02108	 0.02226	 0.02122	   16.63	   -0.83	   -2.78	    0.0150	    0.0160	    0.0167	    0.0172	    0.0192	    0.0226	    0.0246	    0.0259	    0.0270	    0.0278	    0.0279	    0.0280	    0.0282	    0.0264	    0.0241	    0.0246	    0.0250	    0.0210	    0.0176	    0.0186	    0.0208	    0.0213	    0.0205	    0.0197	    0.0202	    0.0215	    0.0237	    0.0272	    0.0311	    0.0331	    0.0328	    0.0312	    0.0293	    0.0291	    0.0334	    0.0443	
34	  210.00	  210.00	  210.00	 0.50749	 0.53174	 0.46275	   77.98	   -1.38	   -2.90	    0.3234	    0.3448	    0.3597	    0.3691	    0.4279	    0.5159	    0.5501	    0.5655	    0.5818	    0.5983	    0.6034	    0.5911	    0.5797	    0.5653	    0.5512	    0.5491	    0.5480	    0.5251	    0.5013	    0.5033	    0.5128	    0.5173	    0.5151	    0.5139	    0.5186	    0.5269	    0.5392	    0.5565	    0.5743	    0.5853	    0.5879	    0.5866	    0.5836	    0.5843	    0.5970	    0.6221	
35	  125.00	  125.00	  125.00	 0.14105	 0.14749	 0.13718	   45.29	   -0.72	   -4.30	    0.0929	    0.0990	    0.1033	    0.1060	    0.1227	    0.1491	    0.1614	    0.1680	    0.1740	    0.1789	    0.1801	    0.1787	    0.1776	    0.1681	    0.1565	    0.1577	    0.1595	    0.1409	    0.1235	    0.1280	    0.1390	    0.1433	    0.1409	    0.1384	    0.1412	    0.1471	    0.1562	    0.1699	    0.1847	    0.1924	    0.1918	    0.1876	    0.1805	    0.1785	    0.1930	    0.2222	
36	  210.00	  210.00	  210.00	 0.50877	 0.53288	 0.46421	   78.05	   -1.33	   -2.95	    0.3246	    0.3461	    0.3611	    0.3705	    0.4293	    0.5180	    0.5523	    0.5674	    0.5835	    0.6002	    0.6047	    0.5924	    0.5810	    0.5667	    0.5523	    0.5502	    0.5490	    0.5261	    0.5022	    0.5043	    0.5139	    0.5184	    0.5164	    0.5152	    0.5201	    0.5284	    0.5408	    0.5583	    0.5762	    0.5869	    0.5899	    0.5886	    0.5855	    0.5862	    0.5995	    0.6249	
37	  145.00	  145.00	  145.00	 0.20079	 0.21019	 0.19048	   52.97	   -0.92	   -3.77	    0.1311	    0.1397	    0.1458	    0.1496	    0.1727	    0.2080	    0.2239	    0.2326	    0.2410	    0.2477	    0.2498	    0.2485	    0.2466	    0.2353	    0.2217	    0.2228	    0.2247	    0.2025	    0.1814	    0.1866	    0.1996	    0.2047	    0.2018	    0.1991	    0.2026	    0.2098	    0.2205	    0.2366	    0.2537	    0.2629	    0.2625	    0.2576	    0.2507	    0.2486	    0.2641	    0.2960	
38	  195.00	  195.00	  195.00	 0.42206	 0.44215	 0.38799	   72.37	   -1.28	   -3.15	    0.2723	    0.2903	    0.3029	    0.3108	    0.3578	    0.4304	    0.4601	    0.4740	    0.4881	    0.5021	    0.5064	    0.4986	    0.4905	    0.4759	    0.4601	    0.4592	    0.4593	    0.4340	    0.4085	    0.4128	    0.4253	    0.4306	    0.4278	    0.4258	    0.4304	    0.4389	    0.4514	    0.4695	    0.4887	    0.4998	    0.5019	    0.4994	    0.4953	    0.4943	    0.5097	    0.5412	
